left_speed,right_speed,time
0.05840000000000001,0.05840000000000001,1760610502.1636288
0.0664,0.0664,1760610502.1741703
0.07440000000000001,0.07440000000000001,1760610502.1837652
0.0816,0.0816,1760610502.192769
0.08960000000000001,0.08960000000000001,1760610502.2029326
0.0976,0.0976,1760610502.2111087
0.10480000000000002,0.10480000000000002,1760610502.2201786
0.11120000000000002,0.11120000000000002,1760610502.2287204
0.11760000000000002,0.11760000000000002,1760610502.236146
0.12400000000000003,0.12400000000000003,1760610502.2456768
0.1312,0.1312,1760610502.2526946
0.13760000000000003,0.13760000000000003,1760610502.2621958
0.14400000000000004,0.14400000000000004,1760610502.2688556
0.15040000000000003,0.15040000000000003,1760610502.2781503
0.15760000000000002,0.14534520821300737,1760610502.2873833
0.1648,0.15254520821300735,1760610502.29568
0.17003556989856403,0.15217680765380048,1760610502.3044498
0.17643556989856404,0.15857680765380047,1760610502.3127089
0.18283556989856406,0.1649768076538005,1760610502.3198843
0.1876417471558475,0.17137680765380048,1760610502.3295074
0.1844088547420867,0.16974415579588373,1760610502.337006
0.1854967377728086,0.1710737906112105,1760610502.3455353
0.1874903811981881,0.17351046590889652,1760610502.352608
0.18997925053854905,0.1765524173248933,1760610502.3617804
0.19637925053854907,0.1829524173248933,1760610502.3708231
0.19528599241447217,0.18303843517324378,1760610502.3776193
0.1966547233131926,0.18471132849390207,1760610502.3859868
0.2030547233131926,0.19111132849390208,1760610502.395059
0.20777898998104405,0.1975113284939021,1760610502.4026165
0.20989006532263496,0.2008878576165538,1760610502.4121323
0.21173930548761252,0.2031480400404153,1760610502.4196672
0.21321268931274082,0.20494884249334988,1760610502.4283218
0.20863030591677229,0.19934815167605502,1760610502.4368124
0.20875833010350642,0.19950462568206342,1760610502.4445863
0.2151583301035064,0.20590462568206344,1760610502.4526913
0.2181805618629338,0.21102068672136348,1760610502.4607058
0.21997190383908355,0.21321010469221324,1760610502.4702313
0.22122440340007024,0.21474093748897474,1760610502.477803
0.2224408090168588,0.21622765546504963,1760610502.4868326
0.22351093758554957,0.21753559038233833,1760610502.4963908
0.21895286374773298,0.21196461124722918,1760610502.5050194
0.2245843973111695,0.2188475967136516,1760610502.5125117
0.22673223420531077,0.22147273069537982,1760610502.5215702
0.22761852923846068,0.22255598018034084,1760610502.5290928
0.22848222935783127,0.22361161365957158,1760610502.5390034
0.22932387070584329,0.2246402864182529,1760610502.5465162
0.23037976261503024,0.22593082097392586,1760610502.555941
0.23105057094589826,0.2267506978227645,1760610502.5645716
